"status_2", "Socket write error"
"status_3", "Timeout"
"status_5", "Edit error"
"status_6", "Comms error"
"status_7", "Not authorised"
"status_9", "Currency error"
"status_10", "Authentication error"
"status_12", "Invalid authorisation code"
"status_13", "Type field missing"
"status_14", "Database server error"
"status_15", "Invalid type"
"status_19", "Cannot fulfill transaction"
"status_20", "Duplicate transaction reference"
"status_21", "Invalid card type"
"status_22", "Invalid reference"
"status_23", "Expiry date invalid"
"status_24", "Card has already expired"
"status_25", "Card number invalid"
"status_26", "Card number wrong length"
"status_27", "Issue number error"
"status_28", "Start date error"
"status_29", "Card is not valid yet"
"status_30", "Start date after expiry date"
"status_34", "Invalid amount"
"status_40", "Invalid cheque type"
"status_41", "Invalid cheque number"
"status_42", "Invalid sort code"
"status_44", "Invalid account number"
"status_51", "Reference in use"
"status_53", "No free TIDs available for this vTID"
"status_56", "Card used too recently"
"status_57", "Invalid velocity_check value"
"status_59", "This combination of currency, card type and environment is not supported      by this vTID"
"status_60", "Invalid XML"
"status_61", "Configuration error"
"status_62", "Unsupported protocol"
"status_63", "Method not supported by acquirer"
"status_104", "APACS30: WRONG TID"
"status_105", "APACS30: MSG SEQ NUM ERR"
"status_106", "APACS30: WRONG AMOUNT"
"status_190", "No capture method specified"
"status_271", "Cannot query transactions of this kind"
"status_274", "Cannot locate transaction to query"
"status_280", "Unknown format of datacash reference"
"status_281", "Datacash reference fails Luhn check"
"status_282", "Mismatch between historic and current site_id"
"status_283", "Mismatch between historic and current modes"
"status_425", "ISO8583 - message corrupted"
"status_440", "Payment Gateway Busy"
"status_470", "Maestro txns for CNP not supported for clearinghouse"
"status_471", "3-D Secure Required"
"status_472", "Invalid capturemethod"
"status_473", "Invalid transaction type "
"status_480", "Invalid value for merchantid"
"status_481", "Element merchantid required"
"status_482", "Invalid element merchantid"
"status_510", "GE Capital: Inappropriate GE Capital card number"
"status_1011", "EuroCommerce: Unable to establish connection."
"status_1012", "EuroCommerce: Amount larger than allowed."
"status_1013", "EuroCommerce: Transaction pending at EuroCommerce."
"status_1014", "EuroCommerce: Unknown error."
"status_1015", "EuroCommerce: Error in response"
"status_1017", "EuroCommerce: Error in response - Unknown result type from EuroCommerce."
"status_1018", "EuroCommerce: Unexpected response from EuroCommerce"
"status_1019", "EuroCommerce: Invalid account configuration - could not authorise transaction with EuroCommerce."
"status_1020", "EuroCommerce: HTTP Error in response."
"status_1021", "EuroCommerce: HTTP Error in response."
"status_1022", "EuroCommerce: HTTP Error in response."
"status_1023", "EuroCommerce: HTTP Error in response."
"status_1100", "No referenced transaction found"
"status_1101", "Only referred transactions can be authorised"
"status_1102", "Only pre or auth transaction can be authorised"
"status_1103", "Must supply updated authcode to authorise transaction"
"status_1104", "Transactions cannot be authorized after time limit expired"
"status_1105", "Fraud challenged transactions cannot be authorized"
"status_1106", "Historic reference already in use"
"status_1220", "Merchant not subscribed for Extended References"
"status_1221", "No external reference supplied"
"status_1222", "Format of external reference is incorrect"
